name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
개조 전투기 격납고,converted_fighterbay,0,,,"req_spaceport, special, non_phase, standard","Fighters, Logistics, Requires Dock",3000,,,,2,4,6,10,data.hullmods.ConvertedFighterBay,"함선의 기본 내장 비행대가 있는 전투기 격납고를 임시 화물창으로 전환하여 화물 용량을 %s 추가하고, 전투기 격납고당 필요 승무원을 %s 감소시킵니다.",기본 전투기 격납고를 임시 화물창으로 전환.,전투기 격납고당 월 유지비를 %s 감소.,graphics/hullmods/converted_fighter_bay.png
전용 조준 코어,dedicated_targeting_core,0,,,"offensive, merc, standard",Weapons,2500,TRUE,,,0,0,15,25,data.hullmods.DedicatedTargetingCore,"탄도 및 에너지 무기의 사거리를 순양함/전함 기준 %s/%s 증가시킵니다.

프리깃이나 구축함에는 설치할 수 없으며, 통합 조준 장치와 함께 작동하지 않습니다.","무기 사거리 증가, 대형 함선일수록 효과 큼.","순양함의 사거리 보너스를 %s로, 전함은 %s로 증가.",graphics/hullmods/targeting_core.png
방어 조준 배열,defensive_targeting_array,2,,,"special, merc, standard",Fighters,3000,,,,2,4,6,10,com.fs.starfarer.api.impl.hullmods.DefensiveTargetingArray,"표준 전투기 통신 링크를 근거리 조준 데이터 제공용으로 전용합니다.

전투기의 미사일 및 다른 전투기에 대한 피해를 %s 증가시키지만, 전투기가 모함 근처에서만 비행하도록 제한합니다.","전투기 점방어 피해 증가, 전투기 배회 범위 제거.",함선 전투기의 탄도 및 에너지 무기 사거리를 %s 유닛 연장.,graphics/hullmods/defensive_targeting_array.png
ECCM 패키지,eccm,2,,,"offensive, defensive, merc, standard",Weapons,2500,,,,5,8,15,20,data.hullmods.ECCMPackage,"함선이 발사한 미사일이 전자 방해 수단 및 플레어에 영향을 받을 확률을 %s 감소시킵니다.

각 미사일에 내장된 CPU 코어가 미사일 최고 속도를 %s, 유도 반응성을 %s 증가시킵니다.

전투에 배치될 경우, 함선 크기에 따라 함대의 전자전 등급을 %s/%s/%s/%s 증가시킵니다.","미사일 속도·유도 개선, 전자전 방해 감소.","무기 사거리 감소를 완전히 무효화하고, 함선의 미사일이 항상 플레어를 무시.",graphics/hullmods/eccm_package.png
ECM 패키지,ecm,2,,,"offensive, special, merc, standard","Weapons, Support",4000,,,,6,12,18,24,com.fs.starfarer.api.impl.hullmods.ECMPackage,"전투에 배치될 경우, 함선 크기에 따라 %s/%s/%s/%s의 ECM 등급을 부여합니다.",함선 ECM 등급 증가.,,graphics/hullmods/ecm_package.png
호위 패키지,escort_package,1,,,"special, weapons, engines, standard","Special, Weapons, Engines",8000,,,,0,7,15,0,com.fs.starfarer.api.impl.hullmods.EscortPackage,"인근 약 %s su 이내에 아군 대형 함선이 있을 경우, 이 함선의 기동성을 %s, 최고 속도를 %s 증가시킵니다. 또한 탄도 및 에너지 무기 사거리를 %s 증가시킵니다.

이 혜택은 호위받는 함선에도 일부 적용됩니다.","인근 대형 아군 함선 근처에서 기동성, 최고 속도, 무기 사거리 증가.",구축함: 방어막이 받는 피해를 %s 감소. 순양함에는 추가 효과 없음.,graphics/hullmods/escort_package.png
확장 갑판 인원,expanded_deck_crew,1,,,"special, merc, standard",Fighters,4000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedDeckCrew,"전투기 손실로 인한 전투기 교체 속도 감소율을 %s 줄이고, 회복 속도를 %s 증가시킵니다.

전투기 격납고당 필요 승무원을 %s 증가시킵니다.","전투기 교체 속도 향상, 필요 승무원 증가.",,graphics/hullmods/expanded_deck_crew.png
확장 탄약고,magazines,1,,,"offensive, merc, standard",Weapons,2500,,,,3,5,7,10,data.hullmods.ExpandedMagazines,탄도 및 에너지 무기의 탄약 용량 또는 충전 횟수를 %s 증가시킵니다.,탄도 및 에너지 무기 탄약/충전 횟수 증가.,탄도 및 에너지 무기의 탄약/충전 재생 속도를 %s 증가.,graphics/hullmods/expanded_magazines2.png
확장 미사일 랙,missleracks,1,,,"offensive, merc, standard",Weapons,5000,,,,8,12,20,30,data.hullmods.ExpandedMissileRacks,미사일 무기의 탄약 용량을 %s 증가시킵니다.,미사일 무기 탄약 증가.,미사일 무기의 발사 속도를 %s 감소.,graphics/hullmods/expanded_missile_racks.png
확장 방어막,extendedshieldemitter,1,,,"shields, defensive, merc, standard",Shields,5000,,,,4,8,12,20,data.hullmods.ExtendedShieldEmitter,방어막의 범위를 %s도 증가시킵니다.,최대 방어막 범위 증가.,방어막 범위를 추가로 %s도 증가.,graphics/hullmods/extended_shields.png
플럭스 코일 보조장치,fluxcoil,0,,,"special, merc, standard",Special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxCoilAdjunct,"함선 크기에 따라 플럭스 용량을 %s/%s/%s/%s 증가시킵니다. 플럭스 커패시터보다 효율은 낮지만, 이미 최대 커패시터를 탑재한 설계에 가장 유용합니다.",플럭스 용량 증가.,플럭스 용량을 추가로 %s/%s/%s/%s 증가시켜 커패시터 추가와 동등한 효율.,graphics/hullmods/flux_coil_adjunct.png
플럭스 분배기,fluxdistributor,0,,,"special, merc, standard",Special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxDistributor,"함선 크기에 따라 플럭스 방출을 %s/%s/%s/%s 증가시킵니다. 플럭스 벤트보다 효율은 낮지만, 이미 최대 벤트를 탑재한 설계에 가장 유용합니다.",플럭스 방출 증가.,플럭스 방출을 추가로 %s/%s/%s/%s 증가시켜 벤트 추가와 동등한 효율.,graphics/hullmods/flux_distributor.png
,,,,,,,,,,,,,,,,,,,
방어막 분로,shield_shunt,1,,,"special, shields, merc, standard","Special, Shields",3000,,,,3,5,7,10,com.fs.starfarer.api.impl.hullmods.ShieldShunt,함선의 방어막을 제거합니다. 외부 방출 노드를 강화 장갑판으로 교체하여 함선의 장갑을 %s 증가시킵니다.,"방어막 제거, 장갑 증가.",함선의 장갑을 추가로 %s 증가.,graphics/hullmods/shield_shunt.png
임시 방어막 발생기,frontshield,0,,,"shields, defensive, standard",Shields,4000,,,,5,10,15,25,data.hullmods.FrontShieldGenerator,"함선에 임시적이고 비효율적인 방어막 발생기를 설치합니다. 방어막 방출장치는 전면 고정 위치에 잠기며 범위는 %s도입니다.

방어막 발생기는 엔진 출력의 상당 부분을 소모하여 최고 속도를 %s 감소시킵니다.",방어막 없는 함선에 기본 방어막 설치. 최고 속도 감소.,,graphics/hullmods/front_shield_generator.png
미사일 자동장전기,missile_autoloader,1,,,"offensive, merc, standard",Weapons,6000,,,,8,12,20,30,com.fs.starfarer.api.impl.hullmods.MissileAutoloader,<스크립트에서 생성되는 툴팁>,소형 미사일 마운트의 미사일 재장전.,재장전 후 쿨다운을 %s초로 증가.,graphics/hullmods/missile_autoloader.png
강화 방어막,hardenedshieldemitter,3,,,"shields, defensive, merc, standard",Shields,10000,,,,5,10,15,25,data.hullmods.HardenedShieldEmitter,방어막이 받는 피해를 %s 감소시킵니다. 또한 이온 빔과 같은 무기의 EMP 아크가 방어막을 관통할 확률도 감소시킵니다.,방어막이 받는 피해 감소.,,graphics/hullmods/hardened_shields.png
강화 보조 시스템,hardened_subsystems,0,,,"special, merc, standard",Special,2500,TRUE,,,5,10,15,25,data.hullmods.HardenedSubsystems,"장기 출격으로 인한 성능 저하가 발생하는 함선의 최고 운용 시간을 %s 증가시킵니다.

전투 준비도 감소 속도도 %s 줄입니다.","최고 운용 시간 증가, CR 감소 속도 완화.",,graphics/hullmods/hardened_subsystems.png
중장갑,heavyarmor,0,,,"defensive, merc, standard",Defenses,2500,,,,8,15,20,40,data.hullmods.HeavyArmor,함선 크기에 따라 함선의 장갑을 %s/%s/%s/%s 포인트 증가시킵니다.,장갑 증가.,함선의 기동성을 %s 감소.,graphics/hullmods/heavy_armor.png
고산란 증폭기,high_scatter_amp,3,,,"offensive, merc, standard",Weapons,5000,,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.HighScatterAmp,<스크립트에서 생성되는 툴팁>,빔 사거리 감소; 빔이 더 많은 피해 주고 방어막에 하드 플럭스 적용.,빔 무기 피해를 추가로 %s 증가.,graphics/hullmods/high_scatter_amp.png
통합 점방어 AI,pointdefenseai,3,,,"defensive, merc, standard","Weapons, Defenses",10000,,,,3,6,9,15,data.hullmods.IntegratedPointDefenseAI,"모든 점방어 무기가 유인 플레어를 식별하고 무시할 수 있게 됩니다. 또한 모든 점방어 무기는 전투 준비도에 관계없이 최상의 표적 선행을 얻으며, 미사일에 대한 피해가 %s 증가합니다.","점방어가 유인 플레어 무시, 표적 선행 향상, 미사일 피해 증가.",모든 소형 비미사일·비타격 무기가 '점방어'로 분류되어 자동으로 미사일을 조준하며 점방어 스탯 보정 적용.,graphics/hullmods/integrated_point_defense_ai.png
#Point Defense Integration,pdintegration,3,,,"defensive, merc","Weapons, Defenses",10000,,,,12,15,18,24,com.fs.starfarer.api.impl.hullmods.PDIntegration,"Reduces the ordnance point cost of small point-defense weapons by %s. The cost reduction only affects weapons that have PD capability as a feature of the weapon itself, and not when it's gained through other means such as from a hullmod.

In addition, all point-defense weapons deal %s more damage to all targets.","Reduces ordnance point cost of small PD weapons, increases all PD damage.",,graphics/hullmods/integrated_point_defense_ai.png
통합 조준 장치,targetingunit,3,,,"offensive, merc, standard",Weapons,10000,,,,4,8,15,25,data.hullmods.IntegratedTargetingUnit,"함선 크기에 따라 탄도 및 에너지 무기의 사거리를 %s/%s/%s/%s 연장합니다. 전용 조준 코어와 함께 작동하지 않습니다.

대부분의 전투함은 통합 조준 장치 또는 전용 조준 코어 중 하나를 설치합니다.","무기 사거리 증가, 대형 함선일수록 효과 큼.",,graphics/hullmods/integrated_targeting_unit.png
항법 중계기,nav_relay,2,,,"engines, special, merc, standard","Engines, Support",5000,,,,10,15,20,25,com.fs.starfarer.api.impl.hullmods.NavRelay,"전투에 배치될 경우, 함선 크기에 따라 함대의 항법 등급을 %s/%s/%s/%s 증가시킵니다.

함대의 총 항법 등급은 배치된 함선의 최고 속도를 증가시킵니다.",배치된 함선의 최고 속도 증가.,,graphics/hullmods/nav_relay.png
신경 인터페이스,neural_interface,3,,,"special, no_drop, no_drop_salvage",Special,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralInterface,"기함과 다른 함선을 연결하여 두 함선이 동시에 %s할 수 있게 합니다. '지휘권 이전'과 마찬가지로, 탄약 용량 증가나 전투 준비도 같은 일부 스킬 효과는 링크된 함선에는 적용되지 않습니다.","함선 간 빠른 전환 허용, 시스템 재사용 대기 초기화 및 충전 추가.",함선에서의 전환이 배치 포인트 합계에 관계없이 항상 즉시 이루어짐.,graphics/hullmods/neural_interface.png
신경 통합기,neural_integrator,,,,"special, no_drop, no_drop_salvage",Special,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralIntegrator,링크를 통해 함선의 모든 시스템을 직접 제어할 수 있게 하여 자동화 함선과 함께 작동하는 강화된 신경 인터페이스입니다. 두 함선이 동시에 %s할 수 있습니다.,자동화 함선용 특수 신경 인터페이스.,함선에서의 전환이 배치 포인트 합계에 관계없이 항상 즉시 이루어짐.,graphics/hullmods/neural_integrator.png
방어막 전환 - 전면,frontemitter,2,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.FrontShieldEmitter,함선의 전방위 방어막 방출장치를 전면 고정 위치로 잠그고 범위를 %s 확대합니다. 모든 전면 방출장치와 마찬가지로 방어막도 두 배 빠르게 전개됩니다.,"전방위 방어막을 전면으로 전환, 범위 확대.",방어막이 받는 피해를 %s 감소.,graphics/hullmods/front_shield_emitter.png
방어막 전환 - 전방위,adaptiveshields,3,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.OmniShieldEmitter,전면 방어막을 전방위 방어막으로 전환합니다. 방어막의 범위를 %s 감소시킵니다.,"전면 방어막을 전방위로 전환, 범위 축소.",방어막 범위 패널티 무효화.,graphics/hullmods/omni_shield_emitter_mod.png
작전 지휘소,operations_center,1,,,special,Special,5000,,,,30,30,30,30,com.fs.starfarer.api.impl.hullmods.OperationsCenter,기함에 설치될 경우 명령 포인트 회복 속도를 %s 증가시킵니다.,기함 탑승 시 명령 포인트 회복 속도 증가.,,graphics/hullmods/operations_center.png
위상 닻,phase_anchor,3,,,"phase, merc, no_build_in, standard, phase_brawler",Phase,7000,,,,10,20,30,50,com.fs.starfarer.api.impl.hullmods.PhaseAnchor,"위상 은폐 장치의 활성화 비용을 %s로 줄입니다. 위상 상태에서 소프트 플럭스 방출과 무기 충전 속도를 %s 증가시킵니다.

다른 방법으로는 함선을 파괴하거나 비활성화할 중대한 피해를 입을 경우, 함선은 즉시 위상 상태로 전환됩니다.","위상 중 플럭스 방출 및 무기 충전 증가, 긴급 잠수 기동.",,graphics/hullmods/phase_anchor.png
회수 셔틀,recovery_shuttles,1,,,"special, standard",Fighters,4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.RecoveryShuttles,전투기 조종사 사상자를 %s 감소시킵니다.,전투기 조종사 사상자 감소.,전투기 조종사 사상자 감소율을 %s로 증가.,graphics/hullmods/recovery_shuttles.png
강화 격벽,reinforcedhull,0,,,"defensive, merc, standard",Defenses,2500,TRUE,,,5,10,15,30,data.hullmods.ReinforcedBulkheads,"함선의 선체 강도를 %s 증가시킵니다. 비활성화될 경우 함선이 분해되지 않으며, 전투 후 거의 항상 회수 가능합니다.",선체 강도 증가; 손실 시 거의 항상 회수 가능.,,graphics/hullmods/reinforced_bulkheads.png
내성 플럭스 도관,fluxbreakers,2,,,"defensive, merc, standard","Special, Defenses",7000,,,,3,6,9,15,data.hullmods.FluxBreakers,이온 캐논 등의 무기로부터 받는 EMP 피해를 %s 감소시킵니다. 또한 환기 중 플럭스 방출 속도를 %s 증가시킵니다.,"EMP 피해 감소, 환기 속도 향상.",환기 중 플럭스 방출 속도를 추가로 %s 증가.,graphics/hullmods/resistant_flux_conduits.png
안전장치 해제,safetyoverrides,0,,,"special, engines, offensive, merc, no_build_in, standard","Special, Engines",2500,TRUE,,,15,30,45,70,data.hullmods.SafetyOverrides,"안전 프로토콜을 비활성화하여 함선 크기에 따라 전투 최고 속도를 %s/%s/%s 증가시키고 (가속도도 증가), 플럭스 제로 엔진 부스트가 즉시 적용되도록 합니다.

그러나 최고 운용 시간이 크게 감소하고 전투 준비도 감소 속도도 빨라집니다.","성능 대폭 향상, 최고 운용 시간 크게 감소.",,graphics/hullmods/safety_overrides.png
,,,,,,,,,,,,,,,,,,,
안정화 방어막,stabilizedshieldemitter,1,,,"shields, defensive, merc, standard",Shields,5000,,,,3,6,9,15,data.hullmods.StabilizedShieldEmitter,방어막이 켜진 상태에서 초당 발생하는 소프트 플럭스를 %s 감소시킵니다. 방어막이 피해를 받아 발생하는 하드 플럭스에는 영향을 미치지 않습니다.,방어막 플럭스 유지 비용 감소.,방어막이 받는 하드 플럭스 피해의 %s를 소프트 플럭스로 전환.,graphics/hullmods/stabilized_shields.png
,,,,,,,,,,,,,,,,,,,
불안정 분사기,unstable_injector,0,,,"engines, merc, standard",Engines,2500,TRUE,,,5,10,15,25,data.hullmods.UnstableInjector,"함선 크기에 따라 전투 최고 속도를 %s/%s/%s/%s su/초 증가시킵니다.

무기 조준 및 취약한 시스템에 간섭을 일으켜 비미사일 무기 사거리를 %s 감소시킵니다.","속도 증가, 무기 사거리 감소.",,graphics/hullmods/unstable_injector.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# logistics hullmods,,,,,,,,,,,,,,,,,,,
추가 선원실,additional_berthing,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",3000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdditionalBerthing,"함선 크기에 따라 최대 선원 수용 인원을 %s/%s/%s/%s 또는 %s 중 높은 값으로 증가시킵니다.

민간 등급 선체의 경우 유지 물자 소모도 %s 증가합니다.",선원 수용 인원 증가.,"선원 수용 인원 증가를 두 배로 하며, 민간 선체의 경우 유지비 증가를 무효화.",graphics/hullmods/berthing.png
증강 추진 필드,augmentedengines,1,,,"req_spaceport, merc, standard","Logistics, Requires Dock",8000,,,,8,16,24,40,data.hullmods.AugmentedEngines,최대 번 레벨을 %s 증가시킵니다.,최대 번 레벨 증가.,최대 번 레벨을 추가로 %s 증가.,graphics/hullmods/augmented_drive_field2.png
보조 연료 탱크,auxiliary_fuel_tanks,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AuxiliaryFuelTanks,"함선 크기에 따라 최대 연료 용량을 %s/%s/%s/%s 또는 %s 중 높은 값으로 증가시킵니다.

민간 등급 선체의 경우 유지 물자 소모도 %s 증가합니다.",연료 용량 증가.,"연료 용량 증가를 두 배로 하며, 민간 선체의 경우 유지비 증가를 무효화.",graphics/hullmods/fuel_tanks.png
효율 대개수,efficiency_overhaul,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.EfficiencyOverhaul,"유지 물자 소모, 연료 소모, 최소 필요 승무원을 %s 감소시킵니다.

전투 준비도 회복 및 수리 속도를 %s 증가시킵니다. CR 회복에 드는 일일 물자 소모는 증가합니다.",유지 비용 절감 및 배치 가능 횟수 증가.,"유지비, 연료 소모, 최소 승무원 요구량을 추가로 %s 감소.",graphics/hullmods/efficiency.png
확장 화물창,expanded_cargo_holds,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedCargoHolds,"함선 크기에 따라 최대 화물 용량을 %s/%s/%s/%s 또는 %s 중 높은 값으로 증가시킵니다.

민간 등급 선체의 경우 유지 물자 소모도 %s 증가합니다.",화물 용량 증가.,"화물 용량 증가를 두 배로 하며, 민간 선체의 경우 유지비 증가를 무효화.",graphics/hullmods/expanded_cargo.png
고해상도 센서,hiressensors,2,,,"req_spaceport, merc, standard","Logistics, Requires Dock",9000,,,,4,6,9,15,com.fs.starfarer.api.impl.hullmods.HighResSensors,<스크립트에서 생성되는 툴팁>,함대 센서 범위 증가.,함선 크기에 따라 전투 중 시야 범위를 %s/%s/%s/%s 증가.,graphics/hullmods/high_res_sensors.png
절연 엔진 어셈블리,insulatedengine,0,,,"engines, defensive, req_spaceport, merc, standard","Engines, Logistics, Defenses, Requires Dock",2500,,,,3,6,9,15,data.hullmods.InsulatedEngines,"함선 엔진의 내구도를 %s, 선체 강도를 %s 증가시킵니다.

함선의 센서 프로파일도 %s 감소합니다.","엔진 비활성화 저항 강화, 센서 프로파일 감소.","엔진 내구도를 추가로 %s 증가시키고, 센서 프로파일 감소를 %s로 증가.",graphics/hullmods/insulated_engine_assembly.png
군사화 보조 시스템,militarized_subsystems,0,,,"req_spaceport, merc, standard","Special, Logistics, Requires Dock",6000,TRUE,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.MilitarizedSubsystems,"민간 등급 선체의 패널티를 제거하고 최대 번 레벨을 %s 증가시킵니다.

최소 필요 승무원을 %s 증가시킵니다.","센서 패널티 제거, 최대 번 레벨 증가, 필요 승무원 증가.",승무원 증가 요구량 무효화.,graphics/hullmods/militarized_subsystems.png
태양 차폐막,solar_shielding,2,,,"defensive, req_spaceport, merc, standard","Defenses, Logistics, Requires Dock",5000,,,,3,6,9,15,data.hullmods.SolarShielding,"원래 내부 아스코니아 항성계의 독특한 환경에 대응하기 위해 독재국 기술자들이 개발했습니다. 태양 코로나 내 운용이 전투 준비도에 미치는 영향을 %s 감소시키고, 에너지 피해를 %s 감소시킵니다.",코로나 및 에너지 피해 영향 감소.,태양 코로나 및 유사 위험으로부터의 보호를 %s로 증가.,graphics/hullmods/solar_shielding2.png
탐사 장비,surveying_equipment,1,,,"special, req_spaceport, standard","Logistics, Requires Dock",5000,,,,5,10,15,25,data.hullmods.SurveyingEquipment,"함선 크기에 따라 탐사에 필요한 중장비와 물자를 %s/%s/%s/%s 감소시키며, 각 항목의 최솟값은 %s입니다.",탐사 자원 요구량 감소.,탐사 비용 절감을 %s 증가.,graphics/hullmods/surveying_equipment.png
,,,,,,,,,,,,,,,,,,,
# standard built-in hullmods,,,,,,,,,,,,,,,,,,,
Terminator Core,terminator_core,,,,,Weapons,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.TerminatorCore,"Gives all point-defense weapons the ability to identify - and ignore - decoy flares. In addition, all weapons get the best possible target leading, regardless of combat readiness, all damage to missiles and fighters is increased by %s, and beam weapon range is increased by %s units.",,,graphics/hullmods/terminator_core.png
Shared Flux Sink,shared_flux_sink,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.SharedFluxSink,"Handles %s of the flux dissipation of all attached modules. If modules are lost during battle, the extra flux dissipation is redistributed among the remaining modules. Up to %s of this extra dissipation applies to hard flux.",Flux/hard flux dissipation bonus as modules are lost.,,graphics/hullmods/shared_flux_sink.png
Stealth Minefield,stealth_minefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefield,Mines attack enemy ships during battle.,Mines attack enemy ships during battle.,,graphics/hullmods/stealth_mines.png
Stealth Minefield - Low Tech,stealth_minefield_lt,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefieldLT,Mines attack enemy ships during battle.,Mines attack enemy ships during battle.,,graphics/hullmods/stealth_mines.png
B-Deck,bdeck,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.BDeck,"Once per combat, when the fighter replacement rate reaches %s, the fighter launch bays are switched over to operate from a ""B-Deck"".

Standby fighters are launched to rapidly bring the wings back up to full strength, and the fighter replacement rate is set to %s.",Launches fresh wing once per combat and replenishes the replacement rate.,,graphics/hullmods/bdeck.png
Fighter Chassis Storage,chassis_storage,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FighterChassisStorage,Fighter replacement rate does not go down when fighters are lost.,Fighter replacement rate does not go down.,,graphics/hullmods/expanded_deck_crew.png
Shield Always On,shield_always_on,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShieldAlwaysOn,,"Forces shield to stay on. Hidden, doesn't need description or icon.",,graphics/hullmods/hardened_shields.png
Missile Autoforge,missile_reload,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PeriodicMissileReload,An autoforge inside the ship periodically fully reloads the magazines of all missile weapons.,Periodically reloads all missile weapons.,,graphics/hullmods/expanded_missile_racks.png
차폐 화물창,shielded_holds,2,,,,,,,TRUE,,0,0,0,0,data.hullmods.ShieldedCargoHolds,우주 방사선으로부터 화물을 보호할 수 없는 함선에서 흔히 발견됩니다. 밀수품이 탐지되지 않을 확률을 높입니다.,밀수품 탐지 회피 확률 향상.,,graphics/hullmods/shielded_cargo_hold.png
