id,type,text1,text2,text3,text4,notes
gauss,WEAPON,"대상의 보호막에 과부하를 걸도록 설계된 장거리 무기입니다. 발사되는 무거운 운동 슬러그는 가장 무거운 갑옷을 제외한 모든 공격에 효과적입니다.
 
 자기 코일을 사용하여 대형 초밀도 복합 슬러그를 상대론적 속도로 가속합니다. 일반적으로 수백 기가암페어 범위로 평가되며 1테라암페어를 초과하는 경우는 거의 없습니다. 그리고 대부분의 탄도 무기와는 달리 발사 시 플럭스 부하가 매우 높습니다. 이 시스템이 장착된 포탑은 회전율이 매우 낮습니다. 
 
 일반적으로 대형 탄도 무기 마운트를 갖춘 함선의 원자로 출력이 낮기 때문에 유용성이 제한되는 매우 효과적인 무기입니다.",,,,
hephag,WEAPON,"무거운 갑옷을 뚫을 수 있도록 설계된 중거리포입니다. 원시 피해 출력을 통해 약한 보호막 방출기를 압도할 수도 있습니다.
 
 화산과 관련된 고대 지구의 신의 이름을 딴 정말 파괴적인 무기 플랫폼입니다. 일반적인 포탑 마운트에는 두 개의 L/89 총신이 있어 높은 연사 속도로 장갑 파괴 포탄을 발사할 수 있습니다. 전자기 방출기, 동력 공급 시스템 및 나노 냉각수를 사용하면 무기를 장기간 발사할 수 있습니다. 성형된 돌격탄은 총구 속도가 낮고 장갑 관통력이 뛰어납니다.",,,,
mark9,WEAPON,"인상적인 중거리 자동포로, 방패 상대로 가장 효과적입니다. 또한 대량의 대구경 발사체로 비장갑 선체를 제거합니다.
 
 도메인 초기 시대의 군함에는 현대 수준의 장갑 보호가 부족한 것으로 알려져 있습니다. Mark IX Autocannon과 같은 이름을 가진 무기는 아마도 도메인의 초기 무기 공학 학교를 개선한 것일 것입니다. 독특한 더블 로더 시스템과 결합된 두 개의 배럴이 무기 시스템의 핵심을 형성합니다.
 
 Mark IX 청사진은 페넬로페 별의 중력 우물에서 포획된 표류 유기물로부터 섹터에서 처음으로 재발견되었습니다. 무자격 감정가의 성급한 조사 끝에 해당 디자인은 쓸모없다고 선언되었습니다. 설계도는 코 콤바인의 전투적 자회사인 프리스타 콤바인이라는 소규모 용병 조직에 경매되어 잊혀졌습니다. 
 
 사이클 후 Free Star Combine은 마침내 프로토타입을 제작하고 무기 시험을 시작했습니다. 이 무기는 너무 거대하고, 가장 큰 함선을 제외하고는 장착하기 어려웠으며, 기껏해야 장갑 표적에 비해 평범했으며, 사거리도 결코 대단하지 않았습니다. 그럼에도 불구하고 Mark IX는 손상 출력이 인상적이기 때문에 이론가들의 설명을 고집스럽게 거부했습니다. 이러한 반대론자들은 2차 시험에서 Mark IX가 발전기를 보호하는 데 얼마나 파괴적인지 보여주었을 때 더욱 조용해졌습니다.
 
 이러한 시험의 결과는 오랫동안 비밀로 유지되지 않았으며 현재 일반 청사진이 제공된다는 것은 Mark IX가 신속하게 해당 부문의 수요를 충족하도록 제조되었습니다.",,,,
mjolnir,WEAPON,"시간이 지남에 따라 뛰어난 피해량을 제공하고 상당한 EMP 탑재량을 갖춘 중거리 대포입니다.
 
 매우 진보된 디자인의 Mjolnir는 기술적으로 표준 대포가 아닌 자기 중력 껍질 프로젝터입니다. 각 껍질 내의 마이크로 커패시터는 소규모 국지적 특이점을 생성하기에 충분한 에너지를 전달할 수 있습니다. 내장된 중력 렌즈는 근처의 모든 물질을 파괴하고 무서운 전자기 펄스(EMP) 효과를 생성하여 대상의 무기와 시스템을 비활성화합니다.",,,,
multineedler,WEAPON,"촘촘한 원호로 다수의 운동 발사체를 발사하여 대부분의 실드 프로젝터를 쉽게 압도하는 발사체의 우박을 생성합니다.
 
 스톰 니들러는 케이스 없는 소구경 탄약을 발사하는 화살촉 무기입니다. 중형 냉각 시스템의 실질적인 한계에 도달한 케이스 없는 무기 설계자들은 Storm Needler의 고급 나노 냉각수 재활용 장치, 배럴당 자화 강선 및 자동화된 작동을 통해 대형 무기 범주로 진출하는 길을 열었습니다. 지능형 자동 로더는 탄창에서 적절한 양의 탄약을 풀고 로드하므로 적절한 플럭스 용량이 제공되면 장기간 작동이 가능합니다.",,,,
hellbore,WEAPON,"느리게 움직이는 플라즈마 충전 발사체를 발사하는 거대한 대포입니다. 포탄은 장갑에 대해 매우 효과적이며 그 아래에 남아 있는 모든 선체 구조를 제거합니다.
 
 거대한 고폭 모양의 돌격탄을 안전하게 발사할 수 있는 내장 배럴 제조와 관련된 복잡성으로 인해 거의 배치되지 않는 두려운 무기 플랫폼입니다. 이러한 포탄이 표적에 충돌하면 노이만 효과로 인해 탄두가 용융 금속 제트를 표적의 장갑으로 추진하여 작은 영역을 기화시켜 선체 파손, 감압 및 파편으로 인한 광범위한 내부 손상을 일으킵니다.",,,,
reaper,WEAPON,"강력한 온보드 엔진을 탑재한 파괴적인 출력을 제공하는 단일 비유도 어뢰입니다.
 
 전형적인 타격 무기인 단일 리퍼 어뢰는 농축된 AM 촉매 핵탄두를 위한 대형 자체 추진, 장갑, 비유도 전달 시스템입니다. 놀랍도록 컴팩트한 기폭 장치 뒤에 숨겨진 과학은 도메인 당국에 의해 비밀로 분류된 물리학을 기반으로 하는 것으로 널리 추측되지만 해당 부문에서는 잘 이해되지 않습니다. 알려진 것은 PD 아크를 통과하는 이들 중 3~4개가 가장 큰 주력함조차 파괴하기에 충분하다는 것입니다.",,,,
atropos,WEAPON,"고급 유도 어뢰 랙입니다. 탑재량은 고급 유도 패키지와 기동 시스템의 반응 질량을 위한 공간을 확보하기 위해 평소보다 작습니다.
 
 Atropos 어뢰는 사거리가 확장된 대형 유도 어뢰입니다. 각 랙에는 별도로 발사할 수 있는 어뢰 2개가 장착되어 있어 공격 대장이 최대한의 유연성을 발휘할 수 있습니다. 어뢰 탄두에 일반적으로 사용되는 AM 촉매 핵탄두는 기폭 장치의 중입자 간섭으로 인해 유도 시스템이 손상될 수 있으므로 여기서는 누락되었습니다. 이는 더 작지만 여전히 강력한 화학 전하로 대체됩니다.",,,,
atropos_single,WEAPON,"단일 고급 유도 어뢰입니다. 탑재량은 고급 유도 패키지와 기동 시스템의 반응 질량을 위한 공간을 확보하기 위해 평소보다 작습니다.
 
 Atropos 어뢰는 사거리가 확장된 대형 유도 어뢰입니다. 어뢰 탄두에 일반적으로 사용되는 AM 촉매 핵탄두는 기폭 장치의 중입자 간섭으로 인해 유도 시스템이 손상될 수 있으므로 여기서는 누락되었습니다. 더 작지만 여전히 강력한 화학 전하로 대체되었습니다.
 
 이 마운트에는 어뢰가 한 발만 있습니다.",,,,
swarmer,WEAPON,"단거리 유도 미사일 발사대. 미사일은 민첩한 표적을 요격하도록 설계되었으며 주로 호위함이나 전투기와 같은 소형 함선에 효과적입니다.
 
 소형 미사일을 폭발적으로 발사합니다. 간단한 적외선 시스템은 효과적인 추적을 제공하는 반면, 화학적 마이크로추력기는 뛰어난 기동성을 제공합니다. 수세기에 걸쳐 실제 적용을 통해 연마된 혁신적인 타겟팅 알고리즘을 통해 미사일이 목표를 이끌 수 있습니다. 미사일은 거의 빗나가지 않고 피하기가 매우 어렵습니다.",,,,
swarmer_fighter,WEAPON,단거리 유도 미사일 발사대. 미사일은 적 전투기를 요격하고 파괴하도록 설계되었습니다.,,,,
annihilator,WEAPON,"넓은 호를 그리는 무유도 로켓을 여러 발 발사합니다. 일반적으로 방패가 무너진 후 적의 장갑을 벗겨내는 데 사용됩니다.
 
 적중 확률을 높이기 위해 좁은 범위에서 일제당 5개의 미사일을 발사하는 작은 포드에서 발사되는 중장거리 로켓입니다. 로켓은 작고 유도되지 않으며, 더 큰 탄두와 향상된 추진 시스템, 더 두꺼운 장갑이 추가 공간을 차지합니다. 
 
 여러 로켓으로 공격할 확률이 높기 때문에 더 큰 목표물에 대해 좋은 성능을 발휘합니다. 로켓 공격은 어뢰 공격 전 지점 방어 시스템의 효율성을 감소시키기 위한 스크린으로 자주 사용됩니다. 일제사격 후 재장전하는 데 몇 초가 걸립니다.",,,,
annihilator_fighter,WEAPON,비유도 로켓을 일제 사격합니다. 일반적으로 방패가 무너지면 적의 갑옷을 벗겨내는 데 사용됩니다.,,,,
annihilatorpod,WEAPON,"무유도 로켓을 연속으로 발사합니다. 적 장갑을 처리하거나 유동 비용이 없기 때문에 지속적인 압력을 가하는 데 유용합니다.
 
 소형 발사대에서 볼 수 있는 것과 동일한 중장거리 로켓이 특징입니다. 로켓은 유도되지 않으며 더 큰 탄두와 향상된 추진 시스템, 더 두꺼운 장갑이 추가 공간을 차지합니다. 
 
 여러 로켓으로 공격할 확률이 높기 때문에 더 큰 목표물에 대해 좋은 성능을 발휘합니다. 로켓 공격은 어뢰 공격 전 지점 방어 시스템의 효율성을 감소시키기 위한 스크린으로 자주 사용됩니다.",,,,
heatseeker,WEAPON,"대상의 엔진을 추적하여 강력한 EMP 폭발로 비활성화합니다. 전투 등급 자동 장전 시스템은 장기간의 교전에서 유용성을 보장합니다.
 
 Salamander 미사일은 두 가지 설계 고려 사항을 갖춘 특수 무기입니다. 첫 번째는 다른 모든 잠재적인 영향 지점과 지점 방어 위협을 피하면서 적의 엔진에 집중할 수 있는 극도로 발전된 추적/타겟팅 메커니즘입니다. 
 
 두 번째는 운동력이나 폭발력으로 목표물을 파괴하려고 시도하는 대신 높은 규모의 목표 전자기장을 생성하는 특수 탄두 설계입니다. 보호되지 않은 엔진 및 선체 구성 요소 근처에 이러한 필드가 생성되면 모든 전자 장치가 빠르게 손상되어 수리될 때까지 쓸모 없게 됩니다.",,,,
salamanderpod,WEAPON,"대상의 엔진을 추적하여 강력한 EMP 폭발로 비활성화합니다. 전투용 자동 장전 시스템은 장기간의 교전에서 유용성을 보장합니다.
 
 외부에 장착된 포드는 보다 일반적인 미사일 랙을 대체하며 두 개의 미사일을 거의 동시에 발사할 수 있습니다. 자동 로더는 잠시 기다린 후 미사일 두 발의 다음 일제 사격을 수행하고 준비하고 준비합니다.
 
 Salamander 미사일은 두 가지 설계 고려 사항을 갖춘 특수 무기입니다. 첫 번째는 다른 모든 잠재적인 영향 지점과 지점 방어 위협을 피하면서 적의 엔진에 집중할 수 있는 극도로 발전된 추적/타겟팅 메커니즘입니다. 
 
 두 번째는 운동력이나 폭발력으로 목표물을 파괴하려고 시도하는 대신 높은 규모의 목표 전자기장을 생성하는 특수 탄두 설계입니다. 보호되지 않은 엔진 및 선체 구성 요소 근처에 이러한 필드가 생성되면 모든 전자 장치가 빠르게 손상되어 수리될 때까지 쓸모 없게 됩니다.",,,,
harpoon,WEAPON,"중거리, 고 탑재량 유도 미사일 랙. 방패가 무너진 함선에 대해 파괴적입니다.
 
 3랙 중거리 미사일. 탁월한 추진 시스템은 미광 속도로 목표물에 대형 탄두를 전달합니다. 속도와 탄두 크기에 비해 기동성이 희생된 중거리 미사일은 해당 부문에서 사용되는 최고 출력의 비공격 무기 중 하나입니다. 호위함 크기의 함선에는 한 발이면 거의 치명적입니다.
 
 이 무기 시스템은 여러 개의 미사일을 수용하는 발사대를 갖추고 있습니다.",,,,
harpoonpod,WEAPON,"중거리, 고 탑재량 유도 미사일 포드. 방패가 무너진 함선에 대해 파괴적입니다.
 
 외부에 장착된 포드는 보다 일반적인 미사일 랙을 대체하고 여러 미사일을 거의 동시에 발사할 수 있습니다. 자동 로더는 잠시 기다린 후 다음 미사일을 추출, 준비 및 준비합니다.
 
 이 중거리 미사일은 단일 또는 삼중 랙에서 발사되는 미사일과 동일하며 무너진 방어막으로 함선을 마무리하는 좋은 방법입니다. 탁월한 추진 시스템은 미광 속도로 목표물에 대형 탄두를 전달합니다. 속도와 탄두 크기에 비해 기동성이 희생된 중거리 미사일은 해당 분야에서 사용되는 최고 출력의 비공격 무기 중 하나입니다. 호위함 크기의 함선에는 한 발의 명중이 거의 치명적입니다.
",,,,
harpoon_single,WEAPON,"중거리, 고 탑재량 유도 미사일. 방패가 무너진 함선에 파괴적입니다.
 
 탁월한 추진 시스템은 미광 속도로 목표물에 대형 탄두를 전달합니다. 속도와 탄두 크기에 비해 기동성이 희생된 중거리 미사일은 해당 분야에서 사용되는 최고 출력의 비공격 무기 중 하나입니다. 프리깃 크기의 함선에는 한 발의 명중이 거의 치명적입니다.
 
 이 마운트는 한 번에 하나의 미사일만 발사할 수 있으며 선체에 움푹 들어간 전투 등급 탄창에 단일 교체품을 운반합니다.",,,,
sabot,WEAPON,"범위 내에 있을 때 고속 운동 관통탄의 2단계 확산을 발사합니다. 방패에 큰 피해를 주고, 적의 선체나 갑옷에 충격을 가할 때 막대한 EMP 피해를 입힙니다. PD.
 
 사보급 미사일은 단거리 2단 KE 무기로 저지가 어렵다. 유도 미사일 1단계는 보호된 표적의 타격 거리 내에 2차 집합체를 투사합니다. 그러면 내장된 표적 컴퓨터가 KE 관통기용 추진제를 점화합니다. 일반적으로 불리는 이 '사봇'은 열화우라늄과 같은 초밀도 물질로 제조된 좁고 측면으로 안정된 발사체입니다.
 
 적의 방어막을 무너뜨리고 과부하를 일으키는 데 탁월합니다. 표준 함선 장갑은 간격을 두고 있으므로 장갑에 대한 충격을 받기 위해 시간에 맞춰 보호막을 낮추면 사봇은 관리 가능한 피해를 더 많이 줍니다.
 
 이 무기 시스템에는 여러 개의 미사일을 수용하는 발사 랙이 있습니다.",,,,
